wl,mean_mjoebergi,sd_mjoebergi,mean_leptodactyla,sd_leptodactyla
300,28.0680486,13.28830599,27.55447667,11.44010251
301,28.0680486,13.28830599,28.17412982,11.43100705
302,28.0680486,13.28830599,28.77736186,11.42312806
303,28.26412177,13.5138872,29.36413233,11.41631633
304,28.45388644,13.73212843,29.93440096,11.41043004
305,28.63729857,13.94293834,30.48812766,11.40533496
306,28.81431411,14.1462256,31.02527252,11.40090467
307,28.98488902,14.34189886,31.54579583,11.39702074
308,29.14897924,14.52986677,32.0496581,11.39357292
309,29.30654074,14.710038,32.53682001,11.39045938
310,29.45752946,14.8823212,33.00724247,11.38758688
311,29.60190136,15.04662503,33.46088661,11.38487102
312,29.73961239,15.20285815,33.89771377,11.38223646
313,29.87061852,15.35092921,34.31758945,11.37967006
314,29.99487568,15.49074687,34.7204524,11.37717262
315,30.11248155,15.62241237,35.10637405,11.37469717
316,30.22358037,15.74614257,35.47542584,11.37219736
317,30.32819794,15.86201951,35.82767921,11.36962734
318,30.42636009,15.97012526,36.16320562,11.36694162
319,30.5180926,16.07054187,36.48207654,11.36409504
320,30.6034213,16.16335139,36.78436343,11.36104259
321,30.68237199,16.24863589,37.07013777,11.35773941
322,30.75497048,16.32647742,37.33947103,11.35414064
323,30.82124257,16.39695803,37.59243468,11.35020142
324,30.88121408,16.46015978,37.8291002,11.34587682
325,30.93491081,16.51616473,38.04953904,11.34112179
326,30.98235858,16.56505494,38.25316095,11.33586903
327,31.02322881,16.60611752,38.43943814,11.33010627
328,31.05724052,16.6387192,38.60853569,11.32386379
329,31.08449088,16.66306148,38.7606184,11.31716171
330,31.10507707,16.67934585,38.89585081,11.31000926
331,31.11909626,16.68777379,39.01439719,11.30240416
332,31.12664561,16.6885468,39.11642151,11.2943322
333,31.12782231,16.68186636,39.20208744,11.28576689
334,31.12272353,16.66793396,39.27155835,11.27666924
335,31.11144644,16.64695109,39.3249973,11.26698779
336,31.09408821,16.61911925,39.36256705,11.25665862
337,31.07074602,16.58463991,39.38443007,11.24560562
338,31.04151704,16.54371457,39.39074852,11.23374082
339,31.00649844,16.49654471,39.37816898,11.22140853
340,30.96377582,16.43970563,39.34394082,11.20913763
341,30.91178703,16.37034976,39.28912931,11.19706985
342,30.85115759,16.28954432,39.2147982,11.18528511
343,30.78251305,16.19835652,39.12200947,11.17379091
344,30.70647894,16.09785359,39.01182317,11.16251461
345,30.62368081,15.98910275,38.88529724,11.1512987
346,30.53474417,15.8731712,38.74348754,11.13989902
347,30.44029458,15.75112617,38.58744783,11.12798589
348,30.34095757,15.62403488,38.41822988,11.11514814
349,30.23735867,15.49296455,38.23688366,11.1009
350,30.13012343,15.35898239,38.04445752,11.08469071
351,30.01987737,15.22315562,37.81459041,11.06580121
352,29.90184968,15.07454042,37.52621877,11.0443817
353,29.77177647,14.90373263,37.18833565,11.02112065
354,29.6310437,14.71410897,36.80993283,10.99665362
355,29.4810373,14.50904615,36.4000002,10.97153993
356,29.32314324,14.29192086,35.96752537,10.94624447
357,29.15874746,14.06610983,35.52149334,10.9211249
358,28.98923591,13.83498976,35.07088629,10.89642451
359,28.81599454,13.60193736,34.62468361,10.87227081
360,28.64040931,13.37032935,34.19186195,10.84868022
361,28.46386617,13.14354243,33.78139554,10.82556888
362,28.28775106,12.9249533,33.40225656,10.80276966
363,28.11344993,12.7179387,33.06341574,10.78005552
364,27.94234874,12.52587531,32.71782776,10.75398383
365,27.76302342,12.32728438,32.31965771,10.72222264
366,27.56533682,12.10219318,31.8796906,10.68615424
367,27.35260527,11.85623749,31.40870994,10.64710051
368,27.12814509,11.5950531,30.91749722,10.60630005
369,26.89527262,11.32427576,30.41683148,10.56489073
370,26.65730418,11.04954126,29.91748901,10.5238983
371,26.41755609,10.77648538,29.43024325,10.48423121
372,26.17934468,10.51074389,28.96586482,10.44668258
373,25.94598628,10.25795257,28.53512176,10.41193965
374,25.72079722,10.02374718,28.14877997,10.38060118
375,25.50709382,9.813763522,27.81760379,10.3532032
376,25.30819241,9.633637355,27.5096321,10.32484373
377,25.10944864,9.465543701,27.18840712,10.29109484
378,24.89596083,9.289520146,26.85794735,10.25316757
379,24.67065928,9.107996317,26.52227061,10.21224593
380,24.43647432,8.923401842,26.18539365,10.16946998
381,24.19633625,8.738166347,25.85133183,10.12592196
382,23.95317539,8.554719462,25.52409881,10.08261553
383,23.70992206,8.375490813,25.20770641,10.04048849
384,23.46950656,8.202910027,24.90616452,10.00039924
385,23.2348592,8.039406733,24.6234811,9.963127505
386,23.00891032,7.887410557,24.36366233,9.929379505
387,22.7945902,7.749351127,24.13071284,9.89979802
388,22.59482918,7.627658071,23.92863608,9.874977493
389,22.41255756,7.524761016,23.75591125,9.851700743
390,22.2387251,7.441152463,23.60661527,9.8267822
391,22.06309462,7.37425288,23.47814766,9.800844186
392,21.88681609,7.321883843,23.36790746,9.774488794
393,21.71103944,7.281866928,23.27329251,9.74826955
394,21.53691461,7.252023714,23.19169894,9.722669618
395,21.36559156,7.230175776,23.12052078,9.69808679
396,21.19822023,7.214144691,23.05714983,9.674825531
397,21.03595056,7.201752036,22.99897554,9.653096335
398,20.87993249,7.190819389,22.94338528,9.633022637
399,20.73131598,7.179168324,22.88776463,9.614655449
400,20.59125096,7.164620421,22.82949797,9.597995837
401,20.46088738,7.144997254,22.78571287,9.583091128
402,20.33992817,7.135131381,22.77241844,9.569838853
403,20.22688326,7.148829043,22.78532117,9.55800887
404,20.12111313,7.182372344,22.82012773,9.547377392
405,20.02197827,7.232043387,22.87254464,9.537714485
406,19.92883913,7.294124275,22.938278,9.528774159
407,19.84105622,7.364897112,23.01303337,9.520287085
408,19.75799,7.440644001,23.09251562,9.511955947
409,19.67900094,7.517647046,23.17242887,9.503453426
410,19.60344953,7.592188351,23.24847656,9.494422821
411,19.53069625,7.660550018,23.31636145,9.484481261
412,19.46010156,7.719014152,23.37178584,9.473225517
413,19.39102596,7.763862855,23.41045171,9.46024039
414,19.3228299,7.791378232,23.45071736,9.446606939
415,19.25914771,7.81390004,23.51138342,9.433566379
416,19.20343118,7.845058384,23.58881564,9.420954376
417,19.15476708,7.883070883,23.67937996,9.408615042
418,19.11224215,7.926155154,23.7794423,9.396391139
419,19.07494314,7.972528819,23.88536835,9.384116405
420,19.04195682,8.020409495,23.99352345,9.37161002
421,19.01236992,8.068014802,24.1002725,9.358673244
422,18.98526921,8.113562359,24.20197994,9.345088206
423,18.95974144,8.155269786,24.29500977,9.33061888
424,18.93487335,8.1913547,24.37572561,9.315014234
425,18.9097517,8.220034723,24.44049085,9.298013576
426,18.88346324,8.239527471,24.50056525,9.279057786
427,18.85956348,8.250797309,24.56858697,9.258020642
428,18.84177747,8.256532764,24.64298692,9.235288588
429,18.82944627,8.257537712,24.72219593,9.211244557
430,18.82191094,8.254616023,24.80464462,9.186263186
431,18.81851256,8.248571571,24.88876332,9.160707001
432,18.81859217,8.240208228,24.972982,9.134923586
433,18.82149086,8.230329866,25.05573021,9.109243774
434,18.82654969,8.21974036,25.13543708,9.083980891
435,18.83310971,8.20924358,25.21053133,9.059431103
436,18.840512,8.1996434,25.27944128,9.035874904
437,18.84809762,8.191743693,25.34059495,9.013579789
438,18.85520763,8.18634833,25.39242012,8.992804136
439,18.8611831,8.184261185,25.43771952,8.971586778
440,18.86799116,8.18204289,25.48050294,8.948132602
441,18.87790282,8.176190226,25.52100857,8.922941414
442,18.89071501,8.167411283,25.55947443,8.896505558
443,18.90622464,8.156414155,25.59613828,8.869307442
444,18.92422865,8.143906934,25.63123762,8.841817814
445,18.94452395,8.130597712,25.66500962,8.814494798
446,18.96690746,8.117194582,25.69769116,8.787783756
447,18.9911761,8.104405636,25.7295188,8.762117989
448,19.01712679,8.092938966,25.76072886,8.737920332
449,19.04455646,8.083502664,25.79155748,8.715605679
450,19.07326202,8.076804824,25.82224066,8.695584455
451,19.10304039,8.073553537,25.84881506,8.676713406
452,19.13226262,8.068991581,25.8679905,8.657634881
453,19.15991591,8.058722561,25.88101275,8.638438015
454,19.18672149,8.043995811,25.88912756,8.6192119
455,19.21340055,8.026060664,25.89358068,8.600043992
456,19.24067428,8.006166454,25.89561775,8.581018876
457,19.2692639,7.985562516,25.89648434,8.562217384
458,19.29989061,7.965498182,25.89742591,8.54371609
459,19.33327561,7.947222787,25.89968782,8.525587171
460,19.3701401,7.931985663,25.90451532,8.507898654
461,19.41120529,7.921036146,25.91315357,8.490715049
462,19.45719237,7.915623569,25.92684769,8.474098376
463,19.50882256,7.916997265,25.94684275,8.458109597
464,19.56681705,7.926406568,25.9674148,8.44330899
465,19.62521731,7.932518716,25.98277183,8.430058008
466,19.67873231,7.925444435,25.99405697,8.418122064
467,19.72908444,7.908598302,26.00241331,8.407265327
468,19.77799613,7.885394887,26.00898379,8.397246053
469,19.82718979,7.859248765,26.01491111,8.38781307
470,19.87838782,7.833574509,26.02133772,8.378703439
471,19.93331265,7.811786693,26.02940571,8.369641272
472,19.99368668,7.797299888,26.04025687,8.360337724
473,20.06123232,7.79352867,26.05503273,8.35049214
474,20.13767199,7.80388761,26.07487454,8.339794367
475,20.22472811,7.831791282,26.10092343,8.327928212
476,20.32412307,7.880654259,26.13117932,8.316010554
477,20.42874701,7.938531576,26.16285539,8.305259213
478,20.53126396,7.992478689,26.19591262,8.295507508
479,20.63305717,8.04441081,26.23031192,8.286585358
480,20.73550994,8.096243149,26.26601403,8.278315733
481,20.84000553,8.149890916,26.30297944,8.270511919
482,20.94792722,8.207269321,26.34116838,8.262975592
483,21.06065828,8.270293576,26.38054074,8.255495715
484,21.17958198,8.340878889,26.42105613,8.247848238
485,21.3060816,8.420940473,26.46267383,8.239796605
486,21.44154042,8.512393536,26.50535284,8.231093062
487,21.5873417,8.61715329,26.54905195,8.221480755
488,21.74486872,8.737134944,26.59372981,8.210696619
489,21.91550476,8.87425371,26.64026932,8.198934893
490,22.09472551,9.028904653,26.68940124,8.18663682
491,22.27750104,9.19901932,26.74085594,8.173907601
492,22.46445615,9.382817637,26.79436372,8.160850299
493,22.65621567,9.578519533,26.84965479,8.147563304
494,22.85340441,9.784344935,26.90645919,8.134138523
495,23.05664718,9.998513771,26.96450677,8.120660302
496,23.2665688,10.21924597,27.0235272,8.10720509
497,23.48379408,10.44476146,27.08324996,8.093841869
498,23.70894784,10.67328016,27.14340437,8.080633337
499,23.94265489,10.90302201,27.20371967,8.067637881
500,24.18554004,11.13220693,27.26392502,8.054912333
501,24.43822811,11.35905485,27.32256575,8.042577864
502,24.7027978,11.60018104,27.37884052,8.030648157
503,24.98011414,11.87024059,27.43345862,8.019022875
504,25.26898147,12.16451319,27.48712943,8.007604772
505,25.56820414,12.4782785,27.54056239,7.996298622
506,25.87658646,12.80681621,27.59446697,7.985010562
507,26.19293279,13.14540598,27.64955264,7.97364788
508,26.51604745,13.48932749,27.70652894,7.962119231
509,26.84473479,13.83386043,27.76610543,7.950335299
510,27.17779913,14.17428446,27.82899178,7.938209913
511,27.51404481,14.50587926,27.89589774,7.925661603
512,27.85227618,14.8239245,27.96753324,7.912615633
513,28.19129756,15.12369987,28.04460844,7.899006493
514,28.52991329,15.40048504,28.12788618,7.884906321
515,28.88145688,15.67703826,28.21702168,7.870508042
516,29.25724297,15.97597134,28.31106381,7.855932296
517,29.65304759,16.29234429,28.40906126,7.841292697
518,30.06464677,16.6212171,28.51006249,7.82669355
519,30.48781654,16.95764976,28.6131157,7.812227976
520,30.91833293,17.29670228,28.71726877,7.797976446
521,31.35197198,17.63343466,28.82156925,7.78400576
522,31.78450971,17.96290689,28.92506434,7.770368449
523,32.21172215,18.28017898,29.0268009,7.757102639
524,32.62938534,18.58031091,29.12582543,7.744232367
525,33.03327531,18.8583627,29.22118411,7.731768368
526,33.41916809,19.10939433,29.32014001,7.71919135
527,33.8073814,19.34412723,29.4293036,7.706154216
528,34.21810041,19.57625298,29.54674173,7.692906418
529,34.64690234,19.80528678,29.67052079,7.679678764
530,35.08936442,20.03074385,29.79870657,7.666678181
531,35.54106386,20.25213939,29.92936419,7.654083582
532,35.99757789,20.46898864,30.06055803,7.64204288
533,36.45448372,20.68080679,30.19035163,7.630671183
534,36.90735857,20.88710906,30.31680776,7.620050207
535,37.35177966,21.08741067,30.43798836,7.61022895
536,37.78332422,21.28122684,30.55195463,7.601225631
537,38.19756946,21.46807276,30.65676711,7.593030931
538,38.59009261,21.64746367,30.75048575,7.585612526
539,38.95647087,21.81891476,30.84199244,7.578571939
540,39.312547,21.97811128,30.9402764,7.571643878
541,39.67545536,22.12242082,31.04355794,7.564966872
542,40.04271064,22.25388221,31.15005678,7.558655866
543,40.41182753,22.37453422,31.25799198,7.552798759
544,40.78032072,22.48641566,31.3655819,7.547454071
545,41.14570489,22.59156532,31.47104414,7.542649785
546,41.50549474,22.692022,31.57259556,7.538383364
547,41.85720494,22.78982451,31.66845229,7.534622956
548,42.19835018,22.88701163,31.75682984,7.531309793
549,42.52644516,22.98562217,31.83594311,7.528361778
550,42.83900455,23.08769492,31.90400658,7.525678258
551,43.13354305,23.19526868,31.96521697,7.523299556
552,43.41278837,23.29863581,32.02474738,7.521326677
553,43.68159348,23.38811578,32.08227644,7.519732904
554,43.94066095,23.46578801,32.13748258,7.518482292
555,44.19069335,23.53373196,32.19004395,7.517529387
556,44.43239323,23.59402708,32.2396385,7.516819206
557,44.66646316,23.64875279,32.28594394,7.516287483
558,44.89360572,23.69998855,32.32863779,7.515861172
559,45.11452345,23.7498138,32.36739734,7.515459208
560,45.32991893,23.80030798,32.40189974,7.514993523
561,45.54049472,23.85355054,32.43182196,7.514370316
562,45.74695339,23.91162092,32.45684092,7.513491567
563,45.9499975,23.97659856,32.47663344,7.512256803
564,46.15032961,24.0505629,32.48819745,7.510704686
565,46.34195398,24.12711663,32.48967354,7.508938085
566,46.51952097,24.19901399,32.48245269,7.506960203
567,46.6847023,24.26706175,32.4679261,7.504782282
568,46.83916967,24.3320667,32.44748509,7.5024207
569,46.98459483,24.39483563,32.42252103,7.499894579
570,47.12264948,24.45617531,32.39442533,7.497223883
571,47.25500534,24.51689252,32.36458939,7.494428031
572,47.38333414,24.57779406,32.33440454,7.491525004
573,47.50930759,24.63968669,32.30526211,7.48853096
574,47.63459742,24.70337721,32.27855336,7.485460356
575,47.76087535,24.7696724,32.25566954,7.482326571
576,47.88981309,24.83937904,32.23214742,7.478968841
577,48.01557777,24.91283106,32.20305426,7.475245062
578,48.13188839,24.98936786,32.16907706,7.471198256
579,48.23974449,25.06830433,32.13090285,7.466873132
580,48.34014561,25.14895542,32.0892187,7.462315255
581,48.43409129,25.23063602,32.04471167,7.457570345
582,48.52258106,25.31266107,31.9980688,7.452683709
583,48.60661447,25.39434549,31.94997714,7.447699795
584,48.68719105,25.47500418,31.90112368,7.442661886
585,48.76531035,25.55395209,31.85219539,7.43761192
586,48.84197189,25.63050411,31.80387921,7.432590442
587,48.91817522,25.70397519,31.75686205,7.427636691
588,48.99491989,25.77368022,31.71183079,7.422788823
589,49.07320541,25.83893414,31.66568404,7.4177716
590,49.14990149,25.90264719,31.61526521,7.412342946
591,49.22150274,25.96782277,31.56117828,7.406590004
592,49.28844608,26.0339155,31.50402719,7.400598177
593,49.35116841,26.10038004,31.44441583,7.394449454
594,49.41010665,26.16667103,31.38294793,7.388221071
595,49.46569774,26.2322431,31.32022711,7.381984514
596,49.51837857,26.29655091,31.25685682,7.375804852
597,49.56858607,26.35904908,31.19344035,7.369740433
598,49.61675715,26.41919226,31.13058083,7.363842911
599,49.66332874,26.4764351,31.06888123,7.358157638
600,49.70873775,26.53023223,31.00894438,7.35272441
601,49.75342109,26.5800383,30.94864192,7.347371525
602,49.79539462,26.62598824,30.88568268,7.341933967
603,49.83262385,26.66881472,30.82042519,7.336455863
604,49.86547011,26.70886895,30.75322786,7.33097722
605,49.89429479,26.74650216,30.68444897,7.325532631
606,49.91945923,26.78206556,30.61444665,7.320150254
607,49.94132481,26.81591039,30.54357885,7.314851089
608,49.96025287,26.84838787,30.47220334,7.309648539
609,49.97660479,26.87984921,30.40067769,7.30454827
610,49.99074192,26.91064563,30.32935931,7.299548363
611,50.00302563,26.94112837,30.2586054,7.294639764
612,50.01381727,26.97164864,30.18877304,7.289807032
613,50.02347821,27.00255766,30.12021915,7.285029385
614,50.03236981,27.03420666,30.05171815,7.280276908
615,50.0375431,27.06316515,29.98194524,7.275536507
616,50.03640223,27.08643365,29.91110846,7.270809494
617,50.02983822,27.10500983,29.83941583,7.266097196
618,50.01874211,27.11989138,29.76707538,7.261400865
619,50.00400491,27.13207598,29.69429515,7.256721599
620,49.98651765,27.14256132,29.62128315,7.252060307
621,49.96717135,27.15234509,29.54824739,7.247417692
622,49.94685706,27.16242496,29.4753959,7.24279426
623,49.92646577,27.17379863,29.40293668,7.238190364
624,49.90688854,27.18746378,29.33107774,7.233606267
625,49.88901637,27.20441809,29.26002707,7.229042236
626,49.87374031,27.22565925,29.18758143,7.224517249
627,49.85780795,27.24819094,29.11182694,7.220047316
628,49.83776043,27.26861446,29.0334057,7.21562745
629,49.81417909,27.28732385,28.95295975,7.211251208
630,49.78764522,27.30471318,28.8711311,7.206910413
631,49.75874015,27.32117653,28.78856172,7.202594946
632,49.7280452,27.33710794,28.70589351,7.198292633
633,49.69614167,27.35290149,28.62376834,7.193989203
634,49.6636109,27.36895125,28.54282801,7.189668343
635,49.63103418,27.38565127,28.46371428,7.18531182
636,49.59899285,27.40339562,28.38706888,7.180899702
637,49.56806822,27.42257837,28.3135335,7.176410657
638,49.5388416,27.44359358,28.24374979,7.171822327
639,49.5118943,27.46683532,28.17578151,7.167136206
640,49.48372405,27.49260416,28.1074023,7.162376484
641,49.45099808,27.52066411,28.03881869,7.157554285
642,49.41455201,27.55060441,27.97023721,7.152680527
643,49.37522145,27.58201426,27.90186437,7.147765829
644,49.33384201,27.61448288,27.83390667,7.142820432
645,49.29124931,27.6475995,27.76657061,7.137854144
646,49.24827897,27.68095333,27.70006266,7.132876313
647,49.20576659,27.71413359,27.63458929,7.127895818
648,49.16454779,27.74672949,27.57035698,7.122921084
649,49.12545819,27.77833027,27.50757216,7.11796012
650,49.0893334,27.80852512,27.44644127,7.113020583
651,49.05700903,27.83690328,27.38707684,7.108046582
652,49.02742636,27.86444394,27.3293236,7.102985599
653,48.99884674,27.89233911,27.27298627,7.097850434
654,48.97108596,27.92049718,27.21786961,7.092654138
655,48.94395976,27.94882658,27.16377838,7.087409851
656,48.91728393,27.97723571,27.1105173,7.082130672
657,48.89087422,28.00563298,27.05789114,7.076829558
658,48.8645464,28.03392681,27.00570463,7.071519252
659,48.83811623,28.06202559,26.95376251,7.06621224
660,48.81139949,28.08983775,26.9018695,7.060920747
661,48.78421193,28.11727169,26.84983032,7.055656748
662,48.75636932,28.14423583,26.79744969,7.050432027
663,48.72768744,28.17063856,26.74453232,7.045258256
664,48.69798203,28.19638831,26.69167364,7.040094762
665,48.66782205,28.22178237,26.63956769,7.034895717
666,48.63786206,28.24715788,26.58816714,7.02966505
667,48.60804633,28.27248305,26.53742464,7.024406698
668,48.5783191,28.29772608,26.48729285,7.019124593
669,48.54862461,28.32285515,26.43772444,7.013822642
670,48.51890712,28.34783846,26.38867205,7.008504723
671,48.48911086,28.37264422,26.34008834,7.003174672
672,48.4591801,28.39724061,26.29192598,6.997836274
673,48.42905906,28.42159583,26.2441376,6.992493262
674,48.39869201,28.44567808,26.19667588,6.987149309
675,48.36802318,28.46945556,26.14949345,6.981808026
676,48.33699683,28.49289646,26.10274019,6.976458789
677,48.30576869,28.51608115,26.05658215,6.971089851
678,48.27451845,28.53910624,26.01099623,6.965703115
679,48.24322627,28.56196428,25.96595933,6.960300507
680,48.21187231,28.58464782,25.92144835,6.954883976
681,48.18043672,28.60714941,25.8774402,6.949455487
682,48.14889967,28.62946161,25.83391177,6.944017018
683,48.1172413,28.65157696,25.79083998,6.93857056
684,48.08544179,28.67348802,25.74820172,6.93311811
685,48.05348129,28.69518734,25.70597391,6.927661671
686,48.02133997,28.71666746,25.66413343,6.92220325
687,47.98899796,28.73792095,25.62265721,6.916744856
688,47.95643545,28.75894035,25.58152213,6.911288494
689,47.92356688,28.77970952,25.54066084,6.905838661
690,47.89033895,28.80022276,25.50003989,6.900397792
691,47.85678017,28.82048822,25.45968705,6.894964876
692,47.82291906,28.84051408,25.4196301,6.889538988
693,47.78878413,28.8603085,25.37989683,6.884119291
694,47.75440389,28.87987966,25.34051501,6.878705039
695,47.71980686,28.89923572,25.30151243,6.873295578
696,47.68502156,28.91838486,25.26291688,6.867890347
697,47.65007649,28.93733523,25.22475614,6.862488884
698,47.61500018,28.95609502,25.18705802,6.857090826
699,47.57982113,28.9746724,25.1498503,6.851695915
700,47.54456786,28.99307552,25.11316078,6.846304001
